,Unnamed: 0,Duration,Pulse,Maxpulse,Calories
0,0,60,110,130,409.1
1,1,60,117,145,479.0
2,2,60,103,135,340.0
3,3,45,109,175,282.4
4,4,45,117,148,406.0
5,5,60,102,127,300.0
6,6,60,110,136,374.0
7,7,45,104,134,253.3
8,8,30,109,133,195.1
9,9,60,98,124,269.0
10,10,60,103,147,329.3
11,11,60,100,120,250.7
12,12,60,106,128,345.3
13,13,60,104,132,379.3
14,14,60,98,123,275.0
15,15,60,98,120,215.2
16,16,60,100,120,300.0
17,17,45,90,112,313.95
18,18,60,103,123,323.0
19,19,45,97,125,243.0
20,20,60,108,131,364.2
21,21,45,100,119,282.0
22,22,60,130,101,300.0
23,23,45,105,132,246.0
24,24,60,102,126,334.5
25,25,60,100,120,250.0
26,26,60,92,118,241.0
27,27,60,103,132,313.95
28,28,60,100,132,280.0
29,29,60,102,129,380.3
30,30,60,92,115,243.0
31,31,45,90,112,180.1
32,32,60,101,124,299.0
33,33,60,93,113,223.0
34,34,60,107,136,361.0
35,35,60,114,140,415.0
36,36,60,102,127,300.0
37,37,60,100,120,300.0
38,38,60,100,120,300.0
39,39,45,104,129,266.0
40,40,45,90,112,180.1
41,41,60,98,126,286.0
42,42,60,100,122,329.4
43,43,60,111,138,400.0
44,44,60,111,131,397.0
45,45,60,99,119,273.0
46,46,60,109,153,387.6
47,47,45,111,136,300.0
48,48,45,108,129,298.0
49,49,60,111,139,397.6
50,50,60,107,136,380.2
51,51,80,123,146,643.1
52,52,60,106,130,263.0
53,53,60,118,151,486.0
54,54,30,136,175,238.0
55,55,60,121,146,450.7
56,56,60,118,121,413.0
57,57,45,115,144,305.0
58,58,20,153,172,226.4
59,59,45,123,152,321.0
60,60,210,108,160,1376.0
61,61,160,110,137,1034.4
62,62,160,109,135,853.0
63,63,45,118,141,341.0
64,64,20,110,130,131.4
65,65,180,90,130,800.4
66,66,150,105,135,873.4
67,67,150,107,130,816.0
68,68,20,106,136,110.4
69,69,300,108,143,1500.2
70,70,150,97,129,1115.0
71,71,60,109,153,387.6
72,72,90,100,127,700.0
73,73,150,97,127,953.2
74,74,45,114,146,304.0
75,75,90,98,125,563.2
76,76,45,105,134,251.0
77,77,45,110,141,300.0
78,78,120,100,130,500.4
79,79,270,100,131,1729.0
80,80,30,159,182,319.2
81,81,45,149,169,344.0
82,82,30,103,139,151.1
83,83,120,100,130,500.0
84,84,45,100,120,225.3
85,85,30,151,170,300.0
86,86,45,102,136,234.0
87,87,120,100,157,1000.1
88,88,45,129,103,242.0
89,89,20,83,107,50.3
90,90,180,101,127,600.1
91,91,45,107,137,313.95
92,92,30,90,107,105.3
93,93,15,80,100,50.5
94,94,20,150,171,127.4
95,95,20,151,168,229.4
96,96,30,95,128,128.2
97,97,25,152,168,244.2
98,98,30,109,131,188.2
99,99,90,93,124,604.1
100,100,20,95,112,77.7
101,101,90,90,110,500.0
102,102,90,90,100,500.0
103,103,90,90,100,500.4
104,104,30,92,108,92.7
105,105,30,93,128,124.0
106,106,180,90,120,800.3
107,107,30,90,120,86.2
108,108,90,90,120,500.3
109,109,210,137,184,1860.4
110,110,60,102,124,325.2
111,111,45,107,124,275.0
112,112,15,124,139,124.2
113,113,45,100,120,225.3
114,114,60,108,131,367.6
115,115,60,108,151,351.7
116,116,60,116,141,443.0
117,117,60,97,122,277.4
118,118,60,105,125,313.95
119,119,60,103,124,332.7
120,120,30,112,137,193.9
121,121,45,100,120,100.7
122,122,60,119,169,336.7
123,123,60,107,127,344.9
124,124,60,111,151,368.5
125,125,60,98,122,271.0
126,126,60,97,124,275.3
127,127,60,109,127,313.95
128,128,90,99,125,313.95
129,129,60,114,151,313.95
130,130,60,104,134,313.95
131,131,60,107,138,357.5
132,132,60,103,133,335.0
133,133,60,106,132,327.5
134,134,60,103,136,339.0
135,135,20,136,156,189.0
136,136,45,117,143,317.7
137,137,45,115,137,318.0
138,138,45,113,138,308.0
139,139,20,141,162,222.4
140,140,60,108,135,390.0
141,141,60,97,127,313.95
142,142,45,100,120,250.4
143,143,45,122,149,335.4
144,144,60,136,170,470.2
145,145,45,106,126,270.8
146,146,60,107,136,400.0
147,147,60,112,146,361.9
148,148,30,103,127,185.0
149,149,60,110,150,409.4
150,150,60,106,134,343.0
151,151,60,109,129,353.2
152,152,60,109,138,374.0
153,153,30,150,167,275.8
154,154,60,105,128,328.0
155,155,60,111,151,368.5
156,156,60,97,131,270.4
157,157,60,100,120,270.4
158,158,60,114,150,382.8
159,159,30,80,120,240.9
160,160,30,85,120,250.4
161,161,45,90,130,260.4
162,162,45,95,130,270.0
163,163,45,100,140,280.9
164,164,60,105,140,290.8
165,165,60,110,145,300.0
166,166,60,115,145,310.2
167,167,75,120,150,320.4
168,168,75,125,150,330.4
